Insumo   ;Embalagem  ;Descricao  ;Quantidade ;Valor;Preco Medio;Ultimo Preco
497;KIT       ;CONJUNTO P/ NEBULIZACAO P/ OXIGENIO ADULTO                                                ;217;1670,9;7,7;7,7
499;CX.       ;COTONETE (HASTE FLEXIVEL P/ LIMPEZA DE OUVIDO) CX 75 UND                                  ;0;0;0;1,91
505;KIT       ;KIT CANULA NASAL N.0 CIRCUITO NASAL INFANTIL-CPAP.                                        ;111;7270,5;65,5;65,5
506;KIT       ;KIT CANULA NASAL N.1 CIRCUITO NASAL INFANTIL-CPAP.                                        ;1714;108487,5922;63,294977;63,15
507;KIT       ;KIT CANULA NASAL N.2 CIRCUITO NASAL INFANTIL-CPAP.                                        ;1469;97923,54;66,66;66,66
508;KIT       ;KIT CANULA NASAL N.3 CIRCUITO NASAL INFANTIL-CPAP.                                        ;2468;157976,68;64,01;64,01
509;KIT       ;KIT CANULA NASAL N.4 CIRCUITO NASAL INFANTIL-CPAP.                                        ;1058;67870,7;64,15;64,15
517;UM        ;CATETER URETERAL MODELO PIG TAIL 4FRX16CM                                                 ;0;0;0;213,68
527;KG.       ;DESINCROSTANTE 1KG                                                                        ;52;1764,88;33,94;33,94
532;FR.       ;DETERGENTE ENZIMATICO PARA LIMPEZA DE INSTRUMENTO CIRURGICO E ENDOSCOPIO 1000ML           ;0;0;0;0,000001
604;UM        ;DISPOSITIVO P/ INCONTINENCIA URINARIA N.05                                                ;0;0;0;2,19
605;UM        ;DISPOSITIVO P/ INCONTINENCIA URINARIA N.06                                                ;6999;8048,85;1,15;1,15
606;UM        ;DISPOSITIVO P/ INCONTINENCIA URINARIA N.04                                                ;0;0;0;1,49
620;UM        ;DRENO DE PENROSE N.01 - DIAMETRO 6 MM SILICONE                                            ;102;1323,96;12,98;12,98
621;UM        ;DRENO DE PENROSE N.02 - DIAMETRO 8 MM SILICONE                                            ;0;0;0;10,18
622;UM        ;DRENO DE PENROSE N.03 - DIAMETRO 10 MM SILICONE                                           ;0;0;0;18,91
623;UM        ;DRENO DE PENROSE N.04 - DIAMETRO 12 MM SILICONE                                           ;5;61,75;12,35;12,35
624;UM        ;DRENO PARA ASPIRACAO FECHADO (SUCCAO) N.6.4MM                                             ;157;3633,81;23,145286;22,83
627;UM        ;ELETRODO DESC.P/ MONITORACAO CARDIACA INFANTIL                                            ;0;0;0;20,38
633;UM        ;ELETRODO DESC.P/MONITORACAO CARDIACA C/PRE GEL E ESPUMA ADULTO                            ;232350;51604;0,222095;0,22
654;UM        ;EQUIPO MACROGOTAS PARA ADMINISTRACAO DE SOLUCOES PARENTERAIS1,20 MTS                      ;0;0;0;0,95
655;UM        ;EQUIPO MICROGOTAS                                                                         ;0;0;0;0,95
656;UM        ;EQUIPO MICROGOTAS S/ROSCA 1,4M                                                            ;0;0;0;0,97
657;UM        ;EQUIPO MICROGOTAS BURETA                                                                  ;14400;79230;5,502083;5,62
658;UM        ;EQUIPO POLIFIX 02 VIAS                                                                    ;1000;587,597;0,587597;0,587597
659;UM        ;EQUIPO MULTIVIAS COMPOSTO DE 02 VIAS NEONATAL                                             ;0;0;0;0
671;UM        ;ESCALPE N.23 COM E SEM DISPOSITIVO DE SEGURANCA                                           ;5600;1960;0,35;0,35
672;UM        ;ESCALPE N.25 COM E SEM DISPOSITIVO DE SEGURANCA                                           ;1370;479,5;0,35;0,35
673;UM        ;ESCALPE N.27 COM E SEM DISPOSITIVO DE SEGURANCA                                           ;0;0;0;0,35
679;UMA       ;ESCOVA PARA LAVAGEM DAS MAOS PRE-OPERATORIA(ESCOVA SECA)                                  ;18960;27681,6;1,46;1,46
688;UM        ;ESFIGMOMANOMETRO ANEROIDE COMPLETO ADULTO OBESO                                           ;0;0;0;37,05
689;UM        ;ESFIGMOMANOMETRO ANEROIDE COMPLETO ADOLECENTE                                             ;0;0;0;38,33
690;UM        ;ESFIGMOMANOMETRO ANEROIDE COMPLETO NEONATAL                                               ;84;6426,84;76,51;76,51
691;UM        ;ESFIGMOMANOMETRO ANEROIDE COMPLETO PRE ESCOLAR                                            ;0;0;0;0
